RuleID|Rule Name|Rule|Rule Desc|Severity|Schedule|Alert Freq|Weeks|Status|Organisations|Scheduled From|Scheduled To|Created On|Created By|rule_builder|rule_type|rule_properties|aggr_rule|aggr_rule_builder|user_org_group_id|sub_technique|tactics|technique|alert_keys|Compliance
"7072"|"TerraMaster TOS"|"{( method =  GET  ) and ( request ~  /include/makecvs.php  and request ~  ?Event=  ) and ( request ~  curl  or request ~  wget  or request ~  .py  or request ~  .sh  or request ~  chmod  or request ~  _GET  ) }"|"Detects the RCE vulnerability in TerraMaster TOS versions 4.2.06 and earlier, allowing unauthenticated attackers to inject operating system commands.(Mitre Att&CK: TA0001-T1190)(CVE-2020-28188)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"GET"}]},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/include/makecvs.php","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"?Event="}]},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"curl","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"wget","condition":"or"},{"field":"request","operator":"~","entity":"none","value":".py","condition":"or"},{"field":"request","operator":"~","entity":"none","value":".sh","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"chmod","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"_GET"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7073"|"Cisco ASA FTD Exploit"|"{request ~   CSCOT /translation-table  or request ~   CSCOT /oem-customization  and ( request ~  &textdomain=/  or request ~  &textdomain=%  or request ~  &name=/  or request ~  &name=%  ) and ( statuscode =  200  ) }"|"Detects exploitation attempts on Cisco ASA FTD systems which allows an unauthenticated, remote attacker to conduct directory traversal attacks and read sensitive files on a targeted system (Mitre Att&ck: TA0001-T1190)(CVE-2020-3452)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","condition":"or","value":" CSCOT /translation-table"},{"field":"request","operator":"~","entity":"none","value":" CSCOT /oem-customization"},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","condition":"or","value":"&textdomain=/"},{"field":"request","operator":"~","entity":"none","condition":"or","value":"&textdomain=%"},{"field":"request","operator":"~","entity":"none","condition":"or","value":"&name=/"},{"field":"request","operator":"~","entity":"none","value":"&name=%"}]},{"condition":"and","rules":[{"field":"statuscode","operator":"=","entity":"none","value":"200"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7074"|"F5 BIG-IP Exploitation Attempt"|"{( request ~  ..;/  or request ~  .jsp/..  ) and ( request ~  /tmui/  or request ~  /hsqldb  ) }"|"Detects the vulnerability in F5 BIG-IP's TMUI, allowing unauthenticated attackers to execute arbitrary system commands, create or delete files, and disable services via specially crafted HTTP requests (Mitre Att&ck: TA0001-T1190)(CVE-2020-5902)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","condition":"or","value":"..;/"},{"field":"request","operator":"~","entity":"none","value":".jsp/.."}]},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/tmui/","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"/hsqldb"}]}]}"|"regular"|"Occurrences '1' Within '60' GroupBy 'srcip'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7075"|"Citrix ADS Exploitation"|"{( request ~  /rapi/filedownload?filter=path:%2F  ) or ( request ~  /pcidss/report  and request ~  type=all_signatures  and request ~  sig_name=_default_signature_  ) }"|"Detects exploitation attempt against Citrix Netscaler, Application Delivery Controller (ADS) and Citrix Gateway exploiting vulnerabilities reported as CVE-2020-8193 and CVE-2020-8195 (Mitre Att&ck: T1190)"|"Critical"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"or","rules":[{"condition":"or","rules":[{"field":"request","operator":"~","entity":"none","value":"/rapi/filedownload?filter=path:%2F"}]},{"condition":"or","rules":[{"field":"request","operator":"~","entity":"none","value":"/pcidss/report","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"type=all_signatures","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"sig_name=_default_signature_"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7076"|"Oracle WebLogic Exploit CVE-2021-2109"|"{method =  GET  and ( request ~  com.bea.console.handles.JndiBindingHandle  and request ~  ldap://  and request ~  AdminServer  ) }"|"Detects the exploitation of the WebLogic server vulnerability described in CVE-2021-2109 (Mitre Att&ck: T1190)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"GET"},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","condition":"and","value":"com.bea.console.handles.JndiBindingHandle"},{"field":"request","operator":"~","entity":"none","condition":"and","value":"ldap://"},{"field":"request","operator":"~","entity":"none","value":"AdminServer"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7077"|"CVE-2021-21972 VSphere Exploitation"|"{   method =  POST  and request ~  /ui/vropspluginui/rest/services/uploadova  }"|"Detects unauthorized file uploads and exploitation attempts of the CVE-2021-21972 vulnerability in VMware vCenter Server, enabling remote code execution through the vRealize Operations plugin.(Mitre Att&ck: TA0001-T1190)(CVE-2021-21972)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"POST","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/ui/vropspluginui/rest/services/uploadova"}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7078"|"CVE-2021-21978 Exploitation Attempt"|"{method =  POST  and ( request ~  logupload  and request ~  logMetaData  and request ~  wsgi_log_upload.py  ) }"|"Detects unauthorized exploitation attempts of the vulnerability in VMware View Planner, enabling unauthenticated remote code execution via malicious file uploads.(Mitre Att&ck: TA0001-T1190)(CVE-2021-21978)
"7079"|"VMware vCenter Server File Upload Vulnerability	"|"{   method =  POST  and request ~  /analytics/telemetry/ph/api/hyper/send?  }"|"Detects exploitation attempts of the CVE-2021-22005 vulnerability in VMware vCenter Server, enabling unauthenticated remote code execution via arbitrary file uploads to the Analytics service.(Mitre Att&ck: TA0001-T1190)(CVE-2021-22005)
"7080"|"CVE-2021-22123 Fortinet Command Injection Exploitation"|"{method =  POST  and request ~  /api/v2.0/user/remoteserver.saml  and ( request !~  /root/user/remote-user/saml-user/  ) }"|"OS command injection vulnerability in FortiWeb's management interface may allow a remote authenticated attacker to execute arbitrary commands on the system via the SAML server configuration page (Mitre Att&ck: TA0001-T1190)(CVE-2021-22123)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"POST","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/api/v2.0/user/remoteserver.saml"},{"condition":"and","rules":[{"field":"request","operator":"!~","entity":"none","value":"/root/user/remote-user/saml-user/"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7081"|"Pulse Connect Secure RCE Attack "|"{( request ~  /dana-na/auth/  or request ~  /dana-ws/  or request ~  /dana-cached/  ) and ( request ~  ?id=  or request ~  ?token=  or request ~  Secid_canceltoken.cgi  or request ~  namedusers  ) }"|"Detects exploitation attempts that allows unauthenticated remote code execution through crafted HTTP requests targeting the Windows File Share Browser and Pulse Secure Collaboration features.(Mitre Att&ck: TA0001-T1190)(CVE-2021-22893)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10,17,18,19"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","condition":"or","value":"/dana-na/auth/"},{"field":"request","operator":"~","entity":"none","condition":"or","value":"/dana-ws/"},{"field":"request","operator":"~","entity":"none","value":"/dana-cached/"}]},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"?id=","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"?token=","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"Secid_canceltoken.cgi","condition":"or"},{"field":"request","operator":"~","entity":"none","value":"namedusers"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7083"|"Arcadyan Router Exploitations"|"{( request ~  ..%2f  ) or ( request ~  ..%2f  and request ~  apply_abstract.cgi  ) and ( request ~  /images/  or request ~  /js/  or request ~  /css/  or request ~  /setup_top_login.htm  or request ~  /login.html  or request ~  /loginerror.html  or request ~  /loginexclude.html  or request ~  /loginlock.html  ) }"|"Detects exploitations allowing unauthenticated remote attackers to bypass authentication and execute commands, potentially leading to unauthorized access and control over affected devices.(Mitre Att&ck: TA0001-T1190)(CVE-2021-20090 & CVE-2021-20091)
"7084"|"CVE-2021-26814 Wazuh RCE Exploitation"|"{  request ~  /manager/files?path=etc/lists/../../../../..  }"|"Detects exploitation attempts in Wazuh, allowing authenticated users to execute arbitrary code with administrative privileges via the /manager/files API due to incomplete input validation.(Mitre Att&ck: TA0001-T1190)(CVE-2021-26814)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/manager/files?path=etc/lists/../../../../.."}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7085"|"ProxyLogon Reset Virtual Directories Based On IIS Log"|"{method =  POST  and statuscode =  200  and request ~  /ecp/DDI/DDIService.svc/SetObject  and ( request ~  schema=Reset  and request ~  VirtualDirectory  ) }"|"When exploiting this vulnerability with CVE-2021-26858, an SSRF attack is used to manipulate virtual directories(Mitre Att&ck:TA0001-T1190)(CVE-2021-26858)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"method","operator":"=","entity":"none","value":"POST","condition":"and"},{"field":"statuscode","operator":"=","entity":"none","value":"200","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/ecp/DDI/DDIService.svc/SetObject"},{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"schema=Reset","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"VirtualDirectory"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7086"|"Exchange Exploitation"|"{    request ~  /owa/calendar/a  and method =  POST  and statuscode !=  503  }"|"Detects successful exploitation of Exchange vulnerability as reported in CVE-2021-28480 (Mitre Att&ck:TA0001-T1190)(CVE-2021-28480)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"field":"request","operator":"~","entity":"none","value":"/owa/calendar/a","condition":"and"},{"field":"method","operator":"=","entity":"none","value":"POST","condition":"and"},{"field":"statuscode","operator":"!=","entity":"none","value":"503"}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
"7087"|"Exchange ProxyToken Exploitation"|"{( method =  POST  and request ~  /ecp/  and request ~  /RulesEditor/InboxRules.svc/NewObject  and statuscode =  500  ) or ( request ~  SecurityToken=  and request ~  /ecp/  and statuscode =  500  ) }"|"Detects the exploitation of Microsoft Exchange ProxyToken vulnerability as described in CVE-2021-33766 (Mitre Att&ck: TA0001-T1190)(CVE-2021-33766)"|"High"|"0"|"24"|""|"Enabled"|"2,3,4,5,6,7,8,9,10"|"0"|"0"|"16-01-2024 01:20:49"|"1"|"{"condition":"and","rules":[{"condition":"or","rules":[{"field":"method","operator":"=","entity":"none","value":"POST","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/ecp/","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/RulesEditor/InboxRules.svc/NewObject","condition":"and"},{"field":"statuscode","operator":"=","entity":"none","value":"500","condition":"and"}]},{"condition":"or","rules":[{"field":"request","operator":"~","entity":"none","value":"SecurityToken=","condition":"and"},{"field":"request","operator":"~","entity":"none","value":"/ecp/","condition":"and"},{"field":"statuscode","operator":"=","entity":"none","value":"500","condition":"and"}]}]}"|"regular"|"Occurrences '1' Within '60'"|"{}"|"{"condition":"and","rules":[]}"|"0"|""|"TA0001"|"T1190"|"null"|"[]"
